ISim log file
Running: C:\Users\CS152B\Desktop\Group3\Lab0\first_counter_tb_isim_beh.exe -intstyle ise -gui -tclbatch isim.cmd -wdb C:/Users/CS152B/Desktop/Group3/Lab0/first_counter_tb_isim_beh.wdb 
ISim P.68d (signature 0x7708f090)
----------------------------------------------------------------------
WARNING:Security:42 - Your software subscription period has lapsed. Your current version of Xilinx tools will continue to function, but you no longer qualify for Xilinx software updates or new releases.


----------------------------------------------------------------------
This is a Full version of ISim.
Time resolution is 1 ps
# onerror resume
# wave add /
# run 1000 ns
Simulator is doing circuit initialization process.
time	 clk reset enable counter
Finished circuit initialization process.
0	 1 0 0 xxxx
1	 0 0 0 xxxx
2	 1 0 0 xxxx
3	 0 0 0 xxxx
4	 1 0 0 xxxx
5	 0 1 0 xxxx
6	 1 1 0 xxxx
672	 1 0 1 0101
673	 0 0 1 0101
674	 1 0 1 0101
675	 0 0 1 0101
676	 1 0 1 0101
677	 0 0 1 0101
678	 1 0 1 0101
679	 0 0 1 0101
680	 1 0 1 0101
681	 0 0 1 0101
682	 1 0 1 0101
683	 0 0 1 0101
684	 1 0 1 0101
685	 0 0 1 0101
686	 1 0 1 0101
687	 0 0 1 0101
688	 1 0 1 0101
689	 0 0 1 0110
690	 1 0 1 0110
691	 0 0 1 0110
692	 1 0 1 0110
693	 0 0 1 0110
694	 1 0 1 0110
695	 0 0 1 0110
696	 1 0 1 0110
697	 0 0 1 0110
698	 1 0 1 0110
699	 0 0 1 0110
700	 1 0 1 0110
701	 0 0 1 0110
702	 1 0 1 0110
703	 0 0 1 0110
704	 1 0 1 0110
705	 0 0 1 0110
706	 1 0 1 0110
707	 0 0 1 0110
708	 1 0 1 0110
709	 0 0 1 0110
710	 1 0 1 0110
711	 0 0 1 0110
712	 1 0 1 0110
713	 0 0 1 0110
714	 1 0 1 0110
715	 0 0 1 0110
716	 1 0 1 0110
717	 0 0 1 0110
718	 1 0 1 0110
719	 0 0 1 0110
720	 1 0 1 0110
721	 0 0 1 0111
722	 1 0 1 0111
723	 0 0 1 0111
724	 1 0 1 0111
725	 0 0 1 0111
726	 1 0 1 0111
727	 0 0 1 0111
728	 1 0 1 0111
729	 0 0 1 0111
730	 1 0 1 0111
731	 0 0 1 0111
732	 1 0 1 0111
733	 0 0 1 0111
734	 1 0 1 0111
735	 0 0 1 0111
736	 1 0 1 0111
737	 0 0 1 0111
738	 1 0 1 0111
739	 0 0 1 0111
740	 1 0 1 0111
741	 0 0 1 0111
742	 1 0 1 0111
743	 0 0 1 0111
744	 1 0 1 0111
745	 0 0 1 0111
746	 1 0 1 0111
747	 0 0 1 0111
748	 1 0 1 0111
749	 0 0 1 0111
750	 1 0 1 0111
751	 0 0 1 0111
752	 1 0 1 0111
753	 0 0 1 1000
754	 1 0 1 1000
755	 0 0 1 1000
756	 1 0 1 1000
757	 0 0 1 1000
758	 1 0 1 1000
759	 0 0 1 1000
760	 1 0 1 1000
761	 0 0 1 1000
762	 1 0 1 1000
763	 0 0 1 1000
764	 1 0 1 1000
765	 0 0 1 1000
766	 1 0 1 1000
767	 0 0 1 1000
768	 1 0 1 1000
769	 0 0 1 1000
770	 1 0 1 1000
771	 0 0 1 1000
772	 1 0 1 1000
773	 0 0 1 1000
774	 1 0 1 1000
775	 0 0 1 1000
776	 1 0 1 1000
777	 0 0 1 1000
778	 1 0 1 1000
779	 0 0 1 1000
780	 1 0 1 1000
781	 0 0 1 1000
782	 1 0 1 1000
783	 0 0 1 1000
784	 1 0 1 1000
785	 0 0 1 1001
786	 1 0 1 1001
787	 0 0 1 1001
788	 1 0 1 1001
789	 0 0 1 1001
790	 1 0 1 1001
791	 0 0 1 1001
792	 1 0 1 1001
793	 0 0 1 1001
794	 1 0 1 1001
795	 0 0 1 1001
796	 1 0 1 1001
797	 0 0 1 1001
798	 1 0 1 1001
799	 0 0 1 1001
800	 1 0 1 1001
801	 0 0 1 1001
802	 1 0 1 1001
803	 0 0 1 1001
804	 1 0 1 1001
805	 0 0 1 1001
806	 1 0 1 1001
807	 0 0 1 1001
808	 1 0 1 1001
809	 0 0 1 1001
810	 1 0 1 1001
811	 0 0 1 1001
812	 1 0 1 1001
813	 0 0 1 1001
814	 1 0 1 1001
815	 0 0 1 1001
816	 1 0 1 1001
817	 0 0 1 1010
818	 1 0 1 1010
819	 0 0 1 1010
820	 1 0 1 1010
821	 0 0 1 1010
822	 1 0 1 1010
823	 0 0 1 1010
824	 1 0 1 1010
825	 0 0 1 1010
826	 1 0 1 1010
827	 0 0 1 1010
828	 1 0 1 1010
829	 0 0 1 1010
830	 1 0 1 1010
831	 0 0 1 1010
832	 1 0 1 1010
833	 0 0 1 1010
834	 1 0 1 1010
835	 0 0 1 1010
836	 1 0 1 1010
837	 0 0 1 1010
838	 1 0 1 1010
839	 0 0 1 1010
840	 1 0 1 1010
841	 0 0 1 1010
842	 1 0 1 1010
843	 0 0 1 1010
844	 1 0 1 1010
845	 0 0 1 1010
846	 1 0 1 1010
847	 0 0 1 1010
848	 1 0 1 1010
849	 0 0 1 1011
850	 1 0 1 1011
851	 0 0 1 1011
852	 1 0 1 1011
853	 0 0 1 1011
854	 1 0 1 1011
855	 0 0 1 1011
856	 1 0 1 1011
857	 0 0 1 1011
858	 1 0 1 1011
859	 0 0 1 1011
860	 1 0 1 1011
861	 0 0 1 1011
862	 1 0 1 1011
863	 0 0 1 1011
864	 1 0 1 1011
865	 0 0 1 1011
866	 1 0 1 1011
867	 0 0 1 1011
868	 1 0 1 1011
869	 0 0 1 1011
870	 1 0 1 1011
871	 0 0 1 1011
872	 1 0 1 1011
873	 0 0 1 1011
874	 1 0 1 1011
875	 0 0 1 1011
876	 1 0 1 1011
877	 0 0 1 1011
878	 1 0 1 1011
879	 0 0 1 1011
880	 1 0 1 1011
881	 0 0 1 1100
882	 1 0 1 1100
883	 0 0 1 1100
884	 1 0 1 1100
885	 0 0 1 1100
886	 1 0 1 1100
887	 0 0 1 1100
888	 1 0 1 1100
889	 0 0 1 1100
890	 1 0 1 1100
891	 0 0 1 1100
892	 1 0 1 1100
893	 0 0 1 1100
894	 1 0 1 1100
895	 0 0 1 1100
896	 1 0 1 1100
897	 0 0 1 1100
898	 1 0 1 1100
899	 0 0 1 1100
900	 1 0 1 1100
901	 0 0 1 1100
902	 1 0 1 1100
903	 0 0 1 1100
904	 1 0 1 1100
905	 0 0 1 1100
906	 1 0 1 1100
907	 0 0 1 1100
908	 1 0 1 1100
909	 0 0 1 1100
910	 1 0 1 1100
911	 0 0 1 1100
912	 1 0 1 1100
913	 0 0 1 1101
914	 1 0 1 1101
915	 0 0 1 1101
916	 1 0 1 1101
917	 0 0 1 1101
918	 1 0 1 1101
919	 0 0 1 1101
920	 1 0 1 1101
921	 0 0 1 1101
922	 1 0 1 1101
923	 0 0 1 1101
924	 1 0 1 1101
925	 0 0 1 1101
926	 1 0 1 1101
927	 0 0 1 1101
928	 1 0 1 1101
929	 0 0 1 1101
930	 1 0 1 1101
931	 0 0 1 1101
932	 1 0 1 1101
933	 0 0 1 1101
934	 1 0 1 1101
